"GEO_ID","NAME","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C02_001M","S1901_C02_001E","S1901_C01_001M","S1901_C01_001E","S1901_C02_002E","S1901_C02_002M","S1901_C01_002M","S1901_C01_002E","S1901_C04_002M","S1901_C04_002E","S1901_C03_002M","S1901_C03_002E","S1901_C01_003E","S1901_C01_003M","S1901_C02_003E","S1901_C02_003M","S1901_C04_003E","S1901_C04_003M","S1901_C03_003M","S1901_C03_003E","S1901_C04_004E","S1901_C04_004M","S1901_C03_004M","S1901_C03_004E","S1901_C02_004M","S1901_C02_004E","S1901_C01_004M","S1901_C01_004E","S1901_C04_005E","S1901_C04_005M","S1901_C03_005M","S1901_C03_005E","S1901_C02_005M","S1901_C02_005E","S1901_C01_005M","S1901_C01_005E","S1901_C04_006E","S1901_C04_006M","S1901_C03_006M","S1901_C03_006E","S1901_C02_006M","S1901_C02_006E","S1901_C01_006M","S1901_C01_006E","S1901_C01_007E","S1901_C01_007M","S1901_C04_007M","S1901_C04_007E","S1901_C03_007M","S1901_C03_007E","S1901_C02_007M","S1901_C02_007E","S1901_C01_008E","S1901_C01_008M","S1901_C04_008E","S1901_C04_008M","S1901_C03_008M","S1901_C03_008E","S1901_C02_008M","S1901_C02_008E","S1901_C01_009E","S1901_C01_009M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C01_010M","S1901_C02_010E","S1901_C02_010M","S1901_C01_010E","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C02_011E","S1901_C02_011M","S1901_C01_011M","S1901_C01_011E","S1901_C04_011M","S1901_C04_011E","S1901_C03_011M","S1901_C03_011E","S1901_C01_012E","S1901_C01_012M","S1901_C02_012E","S1901_C02_012M","S1901_C04_012E","S1901_C04_012M","S1901_C03_012M","S1901_C03_012E","S1901_C02_013M","S1901_C02_013E","S1901_C01_013M","S1901_C01_013E","S1901_C03_013E","S1901_C03_013M","S1901_C04_013M","S1901_C04_013E","S1901_C01_014E","S1901_C01_014M","S1901_C02_014E","S1901_C02_014M","S1901_C04_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C02_015E","S1901_C02_015M","S1901_C01_015M","S1901_C01_015E","S1901_C04_015M","S1901_C04_015E","S1901_C03_015M","S1901_C03_015E","S1901_C01_016E","S1901_C01_016M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M",
"1600000US0680238","Tracy city, California","N","N","5571","1277","1162","20238","1565","25809","5.0","2.8","2.5","6.5","8.3","14.3","N","N","3.0","1.5","2.2","1.5","8.5","5.4","N","N","17.0","9.1","N","N","2.9","6.3","3.1","7.9","11.0","7.4","N","N","3.6","6.4","3.3","7.7","12.1","8.2","N","N","3.9","10.5","3.3","10.8","17.7","3.9","7.6","16.9","N","N","4.7","17.6","15.6","3.6","9.5","6.3","N","N","4.7","17.6","18.9","3.8","20.9","5.0","N","N","4.3","4.1","3.5","9.4","4.0","8.7","N","N","6.4","7.1","4.0","2.7","2.1","3.2","3.5","0.0","N","N","70894","7105","76917","10786","31844","14996","7471","92913","16815","93591","13150","84920","N","N","11009","47090","27.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","17.4","(X)",
"1600000US0680812","Turlock city, California","N","N","6594","1435","1101","17366","1323","23960","4.7","2.9","2.8","8.3","7.9","18.8","N","N","5.5","2.7","4.2","2.9","10.1","6.0","N","N","17.4","8.0","N","N","2.8","10.2","3.3","12.2","4.3","3.5","N","N","3.7","9.9","2.6","8.4","15.5","7.1","N","N","3.8","10.7","3.2","11.3","23.5","4.6","8.4","19.7","N","N","5.3","23.4","13.5","4.1","10.1","7.0","N","N","5.0","16.0","11.7","3.4","13.0","4.1","N","N","4.2","2.9","1.7","5.3","2.3","3.8","N","N","0.0","3.0","2.6","1.9","1.3","1.9","3.0","0.0","N","N","53605","4399","57516","6004","34481","13648","8114","63399","6522","70166","5393","62679","N","N","6148","39003","28.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.1","(X)",
"1600000US0680854","Tustin city, California","N","N","6357","1284","861","17700","1210","24057","3.2","2.2","2.6","7.1","8.1","18.0","N","N","2.5","1.2","2.9","1.6","3.3","2.8","N","N","15.6","6.6","N","N","2.9","6.2","2.8","8.2","7.8","4.6","N","N","3.9","9.4","2.8","8.3","12.1","6.3","N","N","4.5","11.0","3.0","10.4","14.2","3.6","7.2","19.9","N","N","3.7","12.6","17.8","4.5","10.4","5.5","N","N","5.3","18.7","14.8","3.8","16.7","4.7","N","N","7.3","5.8","3.3","9.9","3.7","9.9","N","N","5.6","5.5","9.2","3.0","2.2","6.8","3.1","0.0","N","N","73889","6813","79521","5552","41296","7749","10790","90180","8439","97125","6908","87604","N","N","9922","51763","30.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.3","(X)",
"1600000US0681204","Union City city, California","N","N","3936","1006","1026","16886","1290","20822","1.1","1.1","1.1","2.2","5.9","9.0","N","N","2.8","2.1","2.6","2.5","3.9","3.2","N","N","9.9","8.7","N","N","1.9","3.2","2.5","4.4","7.0","5.8","N","N","3.1","6.4","2.6","5.9","23.6","11.3","N","N","3.8","14.2","4.1","15.3","17.3","3.9","9.3","14.5","N","N","4.5","18.2","14.9","3.8","19.3","9.6","N","N","3.8","13.7","20.0","4.5","21.7","5.5","N","N","7.7","5.2","3.1","12.2","3.3","11.4","N","N","4.0","4.0","6.9","2.4","2.0","5.8","1.7","1.0","N","N","77745","6248","80886","11149","48269","15830","14572","96453","6275","97994","5630","92649","N","N","8544","59231","16.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","17.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","10.7","(X)",
"1600000US0681344","Upland city, California","N","N","7618","1707","1140","18252","1699","25870","3.6","2.2","2.1","4.7","6.4","10.1","N","N","5.9","3.3","3.8","2.9","11.0","8.5","N","N","12.0","6.8","N","N","4.1","8.8","3.1","9.0","6.1","5.0","N","N","4.0","9.5","3.2","9.3","9.5","5.0","N","N","4.3","12.1","3.4","10.4","19.5","4.4","11.9","27.6","N","N","5.1","18.2","16.7","4.0","16.9","7.7","N","N","4.6","14.2","16.5","3.6","20.7","5.0","N","N","4.8","3.7","1.9","5.0","2.4","3.9","N","N","1.9","2.3","4.0","1.9","1.9","4.1","2.6","0.0","N","N","61497","5741","63491","8602","52127","12943","9946","81715","7087","78168","5863","73475","N","N","7439","50771","32.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.8","(X)",
"1600000US0681554","Vacaville city, California","N","N","8524","1613","1862","19906","2743","28430","2.9","2.3","1.7","3.3","3.5","5.2","N","N","2.7","1.3","0.3","0.4","8.9","4.1","N","N","8.5","5.0","N","N","2.2","4.1","2.2","5.7","15.2","5.6","N","N","1.9","3.6","2.3","6.9","16.6","5.5","N","N","3.3","9.4","2.8","11.6","23.1","4.0","6.6","23.6","N","N","5.5","22.8","14.7","4.2","10.1","5.7","N","N","5.4","16.9","19.8","4.4","25.1","5.9","N","N","8.7","3.8","2.5","10.1","3.2","7.7","N","N","0.7","1.1","4.7","2.7","2.2","4.5","2.9","2.5","N","N","71706","6290","82417","7022","46469","8080","16353","91939","7511","95038","5989","84229","N","N","6989","54018","24.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.2","(X)",
"1600000US0681666","Vallejo city, California","N","N","13398","1819","1439","27644","1852","41042","7.2","3.1","2.8","7.4","5.1","11.8","N","N","6.6","1.7","5.0","2.2","13.0","4.4","N","N","16.2","4.8","N","N","2.7","7.5","2.9","10.9","11.5","5.1","N","N","2.9","8.6","2.7","9.7","15.1","4.9","N","N","2.6","7.9","2.4","10.4","19.6","3.2","4.6","15.2","N","N","4.0","21.7","15.2","2.8","10.1","4.1","N","N","3.8","16.5","12.6","2.4","14.9","3.1","N","N","5.7","3.0","1.9","7.1","2.5","5.1","N","N","1.0","1.1","3.6","2.0","1.4","2.6","0.6","0.4","N","N","56209","4593","63382","5542","32312","6696","7396","80479","6006","75450","5183","66697","N","N","6006","43521","34.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.5","(X)",
"1600000US0682590","Victorville city, California","N","N","6885","1333","1319","24804","1796","31689","6.1","3.0","2.8","6.6","7.8","14.7","N","N","4.7","2.0","4.0","2.5","9.5","5.9","N","N","15.2","6.8","N","N","4.1","8.7","3.6","10.8","11.0","5.7","N","N","3.0","10.8","2.8","11.1","11.5","6.4","N","N","4.4","16.9","3.7","14.1","26.4","4.5","9.7","23.3","N","N","5.1","25.7","13.8","3.1","9.4","6.1","N","N","3.5","13.8","7.2","2.5","7.7","2.7","N","N","4.3","4.0","1.8","3.7","2.2","3.3","N","N","1.0","1.7","2.5","2.2","1.7","2.0","2.9","0.0","N","N","52062","5599","52431","6483","32181","10966","5241","59487","5889","60830","5127","58365","N","N","7506","41400","25.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20.4","(X)",
"1600000US0682954","Visalia city, California","21354","1480","10987","1898","1560","29722","2104","40709","4.4","2.2","2.1","5.1","5.1","10.7","0.3","0.2","5.8","1.9","3.5","1.7","12.3","5.3","1.6","2.4","17.8","5.3","3.2","8.9","3.0","12.7","2.6","15.0","12.0","4.8","3.1","7.7","2.7","9.6","2.4","10.1","16.2","6.2","4.7","11.7","3.9","11.7","3.2","12.0","17.8","3.2","6.3","15.4","4.8","20.3","3.7","18.3","12.0","2.7","5.5","3.8","4.0","15.3","3.3","13.4","14.6","2.5","18.7","3.2","22.8","4.5","3.0","1.9","1.9","5.0","2.1","5.2","6.9","2.9","5.1","3.8","2.7","1.1","0.9","2.4","1.8","1.8","1.6","3.7","51464","3080","58859","5664","33674","4189","9155","71855","5199","72652","4556","66549","N","N","6767","46427","45.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","47.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","40.2","(X)",
"1600000US0682996","Vista city, California","N","N","9326","1651","1320","20656","1899","29982","4.2","2.6","2.5","4.8","4.7","7.8","N","N","3.4","2.0","2.4","1.7","7.5","5.5","N","N","12.3","5.0","N","N","2.9","8.2","2.6","9.4","17.4","6.8","N","N","3.6","15.9","3.3","15.9","20.5","6.5","N","N","4.8","22.5","3.8","21.9","16.2","3.6","5.8","12.4","N","N","4.7","19.5","13.6","3.4","14.8","6.8","N","N","3.2","10.4","10.3","2.3","10.8","2.7","N","N","6.9","4.4","1.3","4.1","1.9","2.9","N","N","0.4","0.8","2.0","1.2","0.9","1.5","2.1","0.0","N","N","46033","3691","45224","6487","40928","5431","7414","51477","4754","62937","3559","60000","N","N","4948","47559","20.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","21.0","(X)",
"1600000US0684200","West Covina city, California","N","N","6263","1207","1305","25023","1738","31286","1.6","1.3","1.5","3.0","4.7","8.5","N","N","4.6","1.9","2.5","1.7","13.0","5.9","N","N","14.3","7.4","N","N","2.9","6.3","2.3","7.1","11.4","5.4","N","N","3.6","11.8","3.0","10.7","19.5","8.2","N","N","4.5","13.8","3.7","13.2","19.7","4.8","7.9","18.3","N","N","5.1","18.1","15.3","3.7","6.3","4.0","N","N","4.4","17.0","16.6","3.7","17.8","4.6","N","N","6.8","5.3","2.4","6.8","2.8","5.9","N","N","2.0","2.3","4.2","2.0","1.9","3.9","3.1","0.0","N","N","62413","3082","67224","10082","40130","13799","9771","82355","7001","82912","5748","77539","N","N","6091","44341","26.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.1","(X)",
"1600000US0684550","Westminster city, California","N","N","6247","1249","1043","20591","1402","26838","5.2","2.8","2.4","5.7","6.2","8.2","N","N","9.2","3.2","6.5","2.7","18.1","10.2","N","N","12.7","5.7","N","N","3.1","9.9","2.4","8.9","14.8","7.6","N","N","3.6","10.9","3.4","12.6","9.9","5.5","N","N","4.4","15.5","3.7","13.6","16.5","3.8","7.3","16.6","N","N","4.1","16.1","13.0","3.3","9.4","6.4","N","N","3.8","14.0","13.7","3.3","15.4","4.1","N","N","7.3","5.1","1.6","3.5","1.6","4.5","N","N","3.0","3.0","3.0","1.9","1.5","2.3","3.1","0.0","N","N","49889","7905","54719","11048","30383","11477","11211","62265","5475","66729","4571","63694","N","N","8599","45544","40.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.4","(X)",
"1600000US0685292","Whittier city, California","N","N","8231","1686","1152","19738","1935","27969","8.5","4.0","2.7","7.4","5.1","9.4","N","N","5.4","2.1","2.8","1.8","11.5","5.3","N","N","10.7","4.6","N","N","1.7","4.2","1.8","5.9","12.0","6.4","N","N","3.0","8.4","2.8","9.2","19.3","8.8","N","N","4.1","15.0","4.0","16.1","16.1","3.3","5.6","11.1","N","N","4.2","16.2","14.3","3.4","14.1","5.4","N","N","4.3","13.6","16.5","3.4","20.7","4.6","N","N","9.0","5.2","1.9","6.3","2.3","5.5","N","N","2.4","2.5","4.3","1.8","1.4","3.6","1.1","0.7","N","N","60540","8046","67915","8870","37218","4492","14186","89083","6006","79036","4689","72371","N","N","5540","50143","28.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.4","(X)",
"1600000US0686832","Yorba Linda city, California","N","N","4114","962","763","17178","1090","21292","0.8","0.8","1.1","1.4","3.7","3.8","N","N","1.7","1.6","0.3","0.5","7.7","6.6","N","N","23.7","11.3","N","N","2.1","2.5","3.1","6.6","6.5","5.0","N","N","2.4","4.0","2.3","4.4","11.3","6.3","N","N","3.1","7.7","2.7","8.4","14.0","3.3","9.2","16.1","N","N","3.6","14.0","12.6","3.5","11.0","7.7","N","N","3.7","13.7","20.7","4.2","22.3","4.5","N","N","13.1","7.1","2.9","10.8","3.3","10.4","N","N","4.6","5.8","23.9","4.3","3.5","19.7","2.7","2.3","N","N","100788","7680","117489","12662","46835","17299","13006","125083","18262","154826","15324","138062","N","N","13166","63143","27.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.2","(X)",
"1600000US0803455","Arvada city, Colorado","N","N","13967","1544","1257","28584","1355","42551","4.8","2.1","1.5","4.4","2.7","6.7","N","N","4.0","1.3","0.8","0.6","10.7","3.7","N","N","21.0","5.7","N","N","2.2","5.6","2.5","10.6","10.8","4.0","N","N","2.3","6.1","2.1","7.2","15.8","4.2","N","N","3.3","15.6","2.6","15.4","18.3","2.5","5.2","17.3","N","N","3.2","17.3","16.1","2.3","9.2","4.3","N","N","3.0","18.6","15.5","2.3","19.0","2.8","N","N","8.5","3.9","1.6","7.9","2.4","5.5","N","N","0.0","1.3","4.4","1.6","1.1","2.9","1.3","0.0","N","N","61046","4973","74500","5985","35533","5586","6528","83313","5128","85674","3888","73149","N","N","4466","43977","28.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.6","(X)",
"1600000US0804000","Aurora city, Colorado","52470","2519","42406","2947","2772","77153","3177","119559","5.2","1.2","1.1","6.9","2.0","11.7","0.9","1.4","4.8","1.1","4.2","1.2","7.6","2.2","0.9","2.1","16.9","3.0","1.5","4.7","1.7","9.0","1.5","11.7","12.0","2.3","1.8","8.5","1.6","9.2","1.4","10.7","17.8","3.2","2.6","14.0","2.2","14.8","1.8","15.5","20.0","1.8","2.9","17.7","2.9","21.7","2.1","20.4","13.0","1.7","8.5","2.1","3.0","19.2","2.2","16.1","12.3","1.4","14.5","1.8","19.6","2.5","6.1","1.8","0.9","4.1","1.2","3.1","5.1","1.4","1.0","1.2","2.5","0.7","0.5","1.9","0.5","0.6","1.1","3.7","50358","2250","58652","3525","36362","3205","4360","71485","2525","69006","2146","62138","N","N","3924","46564","19.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","15.3","(X)",
"1600000US0807850","Boulder city, Colorado","N","N","21724","2274","1543","18169","2477","39893","3.5","1.9","2.6","12.9","4.8","21.3","N","N","5.7","1.9","1.5","1.7","9.3","3.3","N","N","15.2","4.5","N","N","3.0","7.1","2.5","11.4","10.1","3.3","N","N","2.7","6.9","2.5","8.4","11.4","3.7","N","N","2.7","7.8","2.5","10.2","15.3","2.7","3.8","15.9","N","N","3.9","15.3","9.1","1.8","5.8","2.2","N","N","3.5","12.5","13.1","2.6","18.6","5.3","N","N","9.0","3.3","1.7","10.0","2.8","5.6","N","N","0.8","0.7","16.9","4.0","1.8","8.3","0.9","1.1","N","N","52618","5323","92540","11710","30235","6447","13029","111729","13820","121335","7220","82040","N","N","7642","47056","20.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20.1","(X)",
"1600000US0812815","Centennial city, Colorado","N","N","10243","1387","1169","28703","1544","38946","1.4","1.1","1.3","2.6","3.2","6.0","N","N","2.6","1.3","0.7","0.5","8.4","4.8","N","N","7.7","4.2","N","N","2.0","3.6","1.8","4.6","14.4","4.3","N","N","1.8","4.0","1.8","6.7","18.3","5.0","N","N","2.3","8.2","2.2","10.4","20.2","3.2","6.6","19.7","N","N","3.7","21.2","16.0","3.2","15.5","5.5","N","N","3.5","14.8","18.8","2.8","23.2","3.7","N","N","7.3","3.8","2.1","10.7","2.7","8.6","N","N","1.2","1.4","12.2","2.4","1.9","9.5","1.7","1.7","N","N","79690","6012","92852","6630","47758","4883","8085","100509","6072","116762","5383","102119","N","N","8287","58162","22.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","15.1","(X)",
"1600000US0816000","Colorado Springs city, Colorado","79301","2979","61571","3708","3200","105790","3084","167361","6.0","1.3","1.0","7.5","2.3","12.2","1.0","2.0","5.9","0.8","3.0","0.7","10.7","1.7","0.6","1.4","18.1","2.7","1.3","4.8","1.3","7.8","1.1","11.6","13.0","2.4","1.4","7.4","1.4","9.3","1.2","10.5","16.9","2.4","1.8","12.6","1.7","13.6","1.3","14.7","19.7","1.5","2.9","17.9","1.9","21.7","1.6","20.0","10.4","1.1","5.3","1.3","1.9","15.6","1.5","12.6","13.2","1.1","18.3","1.6","23.2","2.1","4.5","1.1","0.8","4.9","1.1","3.5","5.6","1.2","0.9","0.8","4.6","0.9","0.6","3.1","0.4","0.4","1.1","5.8","49929","1580","61897","2623","31455","2362","2698","75146","3213","77866","2228","64583","N","N","1965","39560","24.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","23.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","23.7","(X)",
"1600000US0820000","Denver city, Colorado","86767","3609","134011","3952","3668","128082","3662","262093","7.1","1.2","1.1","10.3","1.8","14.5","0.8","2.1","6.5","0.9","4.1","1.0","9.0","1.2","1.0","2.4","14.3","1.5","1.5","8.7","1.5","11.6","1.0","12.3","13.0","1.7","1.6","8.3","1.4","9.8","1.2","11.5","13.3","1.4","1.6","12.0","1.3","13.0","0.9","13.3","16.0","1.1","1.5","16.4","2.0","15.6","1.7","15.5","10.3","0.9","8.6","1.3","1.7","13.2","1.3","10.9","10.2","0.9","12.6","1.3","16.6","1.8","7.4","1.1","0.6","7.2","1.1","4.6","9.5","1.4","2.1","0.6","8.1","1.2","0.6","4.9","0.5","1.4","1.7","11.6","45074","1385","55651","2374","34331","1658","3288","76282","4616","86185","2168","68342","107894","6479","2060","48909","26.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.9","(X)",
"1600000US0827425","Fort Collins city, Colorado","N","N","24629","2149","1707","30360","2354","54989","3.2","2.0","1.7","8.7","3.1","15.8","N","N","5.1","1.4","2.3","1.3","9.5","2.9","N","N","17.9","3.6","N","N","2.1","5.4","2.0","10.8","13.9","3.4","N","N","2.5","8.1","2.1","10.6","19.2","3.9","N","N","3.4","13.9","2.4","16.6","18.3","2.2","3.2","11.7","N","N","3.5","23.0","12.4","2.1","6.7","2.0","N","N","3.3","16.8","10.4","1.7","16.2","2.9","N","N","3.4","2.0","1.0","5.0","1.7","3.5","N","N","1.5","0.9","6.2","1.9","1.0","3.6","0.5","0.4","N","N","47752","3497","69073","3501","30580","2887","6516","74992","5983","85145","3693","65199","N","N","4479","39709","20.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","18.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","21.8","(X)",
"1600000US0832155","Greeley city, Colorado","N","N","11541","1543","1545","21923","2020","33464","4.7","2.7","2.8","11.5","6.7","25.6","N","N","6.9","2.2","4.2","2.7","11.6","4.0","N","N","18.9","5.3","N","N","4.3","11.5","3.5","13.8","12.4","5.2","N","N","3.8","10.6","3.0","11.1","11.3","5.4","N","N","4.2","15.9","3.3","12.9","20.0","3.2","5.1","13.6","N","N","4.3","22.0","11.2","2.7","3.1","2.3","N","N","3.5","14.1","9.4","2.1","12.0","2.7","N","N","3.6","2.9","1.1","2.8","1.6","1.9","N","N","0.0","1.5","2.0","1.3","0.9","1.3","1.5","0.0","N","N","42404","6047","52818","4523","21818","4183","7842","63140","6875","65728","4907","54191","N","N","4088","29548","24.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","17.9","(X)",
"1600000US0836410","Highlands Ranch CDP, Colorado","N","N","6796","1133","1596","26446","1508","33242","1.1","1.2","1.1","1.2","1.8","1.5","N","N","0.9","0.7","0.4","0.5","2.9","2.8","N","N","11.0","5.6","N","N","0.6","0.8","1.1","2.9","10.3","5.1","N","N","1.7","2.9","1.6","4.4","8.4","4.8","N","N","2.0","5.7","1.7","5.9","12.9","3.0","7.6","17.3","N","N","3.0","11.7","17.9","3.0","20.0","7.2","N","N","3.4","17.5","30.5","3.9","33.0","4.5","N","N","19.8","7.9","2.5","13.8","3.0","11.9","N","N","3.8","3.2","13.1","2.6","2.3","11.4","6.4","5.0","N","N","105237","7448","117168","5632","70602","21951","4288","118911","7974","131513","6813","121154","N","N","15044","79023","15.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","17.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","11.5","(X)",
"1600000US0843000","Lakewood city, Colorado","25733","1877","24202","2326","1636","36382","2346","60584","5.8","2.0","1.6","6.6","2.7","9.1","2.0","2.7","4.2","1.3","1.6","1.0","8.6","2.8","0.6","0.6","19.4","3.7","1.9","4.2","2.0","6.4","1.9","11.7","13.3","2.8","3.3","10.6","2.5","11.0","2.1","11.9","14.0","3.1","3.0","10.1","2.9","12.6","1.9","13.2","22.7","2.8","4.5","22.8","3.9","20.3","3.6","22.4","11.4","1.9","6.9","2.7","3.4","17.7","2.6","13.9","11.2","1.7","15.2","2.6","19.9","3.5","4.8","1.9","1.0","5.8","1.5","3.8","7.3","2.0","0.9","0.7","5.3","1.5","0.9","3.3","0.5","0.3","2.1","6.6","51937","3174","66098","2371","34654","4142","4454","76557","6232","81597","4041","66485","N","N","2894","42642","24.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","17.7","(X)",
"1600000US0845970","Longmont city, Colorado","N","N","11141","1567","1130","22636","1327","33777","5.8","2.6","1.5","4.5","3.0","5.9","N","N","3.7","1.7","3.8","2.4","6.2","3.4","N","N","14.0","4.9","N","N","2.8","9.1","2.6","10.6","17.7","6.4","N","N","3.2","7.3","3.0","10.5","25.4","6.8","N","N","3.5","13.8","3.4","19.2","17.4","2.9","4.9","12.7","N","N","3.9","19.0","12.7","2.8","11.2","4.0","N","N","3.4","13.0","14.8","2.6","20.3","3.6","N","N","4.3","2.6","1.3","4.1","1.7","3.8","N","N","2.0","1.8","3.7","1.5","1.0","2.9","0.7","0.5","N","N","52922","5618","62577","5125","36903","1968","7737","75660","6465","78489","4757","69685","N","N","4031","46515","23.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","23.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.3","(X)",
"1600000US0846465","Loveland city, Colorado","N","N","9725","1581","1204","17392","1495","27117","4.3","2.8","2.0","4.2","3.2","5.6","N","N","7.6","2.6","4.0","2.6","14.1","5.5","N","N","15.2","5.6","N","N","2.4","6.0","2.4","9.2","19.1","6.0","N","N","2.5","4.7","2.7","9.4","19.3","7.1","N","N","4.8","14.8","3.6","16.3","22.1","4.1","6.5","17.9","N","N","5.3","23.2","13.5","3.3","3.1","2.1","N","N","4.9","19.1","11.8","3.5","15.0","4.7","N","N","5.2","4.1","1.8","5.1","2.9","3.3","N","N","0.0","1.8","3.9","2.1","1.3","2.7","0.9","0.5","N","N","54062","5474","66838","7799","32060","4398","8445","79911","7433","78120","4831","65228","N","N","5010","39550","23.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","18.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.8","(X)",
